Date,STI (India),STI (China),STI (Korea),STI (Japan),STI (Indonesia),STI (Israel),STI (US),Crude Oil,S&P 500
2016-05,6.71,2.89,1.58,0.06,6.65,0.10,0.57,45.94,2096.96
2016-06,6.80,2.87,1.43,0.06,7.04,0.09,0.55,47.69,2098.86
2016-07,6.60,2.87,1.36,0.06,7.19,0.11,0.62,44.13,2173.60
2016-08,6.56,2.77,1.35,0.06,7.12,0.12,0.73,44.88,2170.95
2016-09,6.54,2.81,1.34,0.06,7.13,0.12,0.75,45.04,2168.27
2016-10,6.37,2.91,1.35,0.06,7.02,0.11,0.72,49.29,2126.15
2016-11,6.13,3.35,1.42,0.06,6.97,0.14,0.71,45.26,2198.81
2016-12,6.11,4.77,1.54,0.06,7.21,0.12,0.87,52.62,2238.83
2017-01,6.24,4.57,1.50,0.06,6.94,0.13,0.90,53.59,2278.87
2017-02,6.16,5.51,1.49,0.06,6.83,0.12,0.87,54.35,2363.64
2017-03,5.93,4.86,1.48,0.06,6.86,0.11,0.98,50.90,2362.72
2017-04,6.04,4.40,1.43,0.06,6.85,0.10,1.03,52.16,2384.20
2017-05,6.41,4.86,1.39,0.06,6.86,0.12,1.05,49.89,2411.80
2017-06,6.28,5.13,1.38,0.06,6.89,0.11,1.16,46.17,2423.41
2017-07,6.20,4.35,1.39,0.08,6.90,0.12,1.22,47.66,2470.30
2017-08,6.14,4.48,1.39,0.06,6.23,0.13,1.25,49.94,2471.65
2017-09,6.10,4.59,1.38,0.06,5.38,0.10,1.25,52.95,2519.36
2017-10,6.09,4.70,1.38,0.06,5.19,0.08,1.26,54.92,2575.26
2017-11,6.11,4.76,1.45,0.06,5.20,0.13,1.32,59.93,2647.58
2017-12,6.17,5.55,1.66,0.06,5.38,0.13,1.54,61.19,2673.61
2018-01,6.34,4.85,1.66,0.07,5.31,0.11,1.63,66.23,2823.81
2018-02,6.38,4.49,1.65,0.07,5.31,0.11,1.78,63.46,2713.83
2018-03,6.23,4.80,1.65,0.10,5.32,0.13,2.08,64.17,2640.87
2018-04,6.13,4.37,1.65,0.10,5.45,0.13,2.20,68.79,2648.05
2018-05,6.30,4.54,1.65,0.08,6.25,0.13,2.16,73.43,2705.27
2018-06,6.49,4.63,1.65,0.08,7.10,0.11,2.19,71.98,2718.37
2018-07,6.55,3.93,1.65,0.09,7.24,0.12,2.17,72.67,2816.29
2018-08,6.76,3.23,1.65,0.09,7.07,0.12,2.19,71.08,2901.52
2018-09,7.02,3.12,1.65,0.05,7.14,0.12,2.24,75.36,2913.98
2018-10,6.99,3.22,1.68,0.05,7.46,0.15,2.37,76.73,2711.74
2018-11,6.87,3.37,1.71,0.05,7.61,0.17,2.56,62.32,2760.17
2018-12,6.67,3.87,1.91,0.05,7.69,0.28,2.69,53.96,2506.85
2019-01,6.64,3.24,1.87,0.03,7.49,0.25,2.59,56.58,2704.10
2019-02,6.48,2.91,1.87,0.03,7.36,0.26,2.49,61.13,2784.49
2019-03,6.36,3.08,1.90,0.05,7.23,0.25,2.48,63.79,2834.40
2019-04,6.30,3.00,1.86,0.05,7.21,0.27,2.47,68.58,2945.83
2019-05,6.37,3.15,1.84,0.05,7.24,0.30,2.44,66.83,2752.06
2019-06,6.01,3.60,1.80,0.05,7.11,0.28,2.30,59.76,2941.76
2019-07,5.83,3.16,1.68,0.05,6.64,0.27,2.22,61.48,2980.38
2019-08,5.49,3.11,1.49,0.01,6.29,0.23,2.06,57.67,2926.46
2019-09,5.35,3.30,1.54,0.01,6.04,0.17,2.03,60.04,2976.74
2019-10,5.18,3.46,1.46,0.01,5.74,0.20,1.88,57.27,3037.56
2019-11,5.03,3.33,1.52,0.02,5.50,0.14,1.77,60.40,3140.98
2019-12,4.98,3.49,1.53,0.02,5.50,0.18,1.76,63.35,3230.78
2020-01,5.08,3.67,1.47,0.02,5.47,0.19,1.65,61.63,3225.52
2020-02,5.09,2.98,1.42,0.02,5.33,0.18,1.59,53.35,2954.22
2020-03,4.98,2.55,1.23,0.01,5.02,0.19,1.35,32.20,2584.59
2020-04,4.14,2.32,1.10,-0.04,4.90,0.09,0.14,21.04,2912.43
2020-05,3.42,2.13,1.02,-0.04,4.90,0.06,0.17,30.38,3044.31
2020-06,3.31,2.54,0.79,-0.04,4.81,0.05,0.20,39.46,3100.29
2020-07,3.22,2.76,0.79,-0.07,4.53,0.04,0.18,42.07,3271.12
2020-08,3.24,2.97,0.68,-0.07,4.34,0.05,0.15,43.44,3500.31
2020-09,3.28,2.99,0.63,-0.06,4.31,0.06,0.13,40.60,3363.00
2020-10,3.26,3.18,0.63,-0.06,4.30,0.03,0.12,39.90,3269.96
2020-11,3.06,3.56,0.66,-0.06,4.22,0.03,0.16,42.30,3621.63
2020-12,3.10,3.33,0.66,-0.06,4.06,0.05,0.17,48.73,3756.07
2021-01,3.21,3.01,0.68,-0.06,4.05,-0.08,0.14,53.60,3714.24
2021-02,3.26,3.25,0.73,-0.06,3.96,-0.03,0.11,60.46,3811.15
2021-03,3.27,3.07,0.75,-0.07,3.76,-0.05,0.10,63.83,3972.89
2021-04,3.34,2.82,0.74,-0.07,3.75,0.02,0.11,62.95,4181.17
2021-05,3.37,2.84,0.68,-0.07,3.75,0.03,0.10,66.40,4204.11
2021-06,3.44,2.93,0.66,-0.07,3.75,0.03,0.09,71.80,4297.50
2021-07,3.42,2.82,0.69,-0.07,3.75,-0.01,0.10,73.28,4395.26
2021-08,3.35,2.86,0.77,-0.07,3.75,-0.01,0.10,68.87,4522.68
2021-09,3.31,2.77,0.98,-0.07,3.75,0.01,0.10,72.80,4307.54
2021-10,3.47,2.72,1.08,-0.07,3.75,0.02,0.11,82.06,4605.38
2021-11,3.52,2.94,1.17,-0.07,3.75,-0.01,0.14,79.92,4567.00
2021-12,3.40,3.08,1.27,-0.05,3.75,-0.02,0.17,72.87,4766.18
